unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	IT	SK	218091
PAS	PAS_BRD	IT	UK	16053847
PAS	PAS_BRD	LT	AT	70279
PAS	PAS_BRD	LT	BE	98887
PAS	PAS_BRD	LT	BG	39396
PAS	PAS_BRD	LT	CY	60903
PAS	PAS_BRD	LT	CZ	423
PAS	PAS_BRD	LT	DE	556645
PAS	PAS_BRD	LT	DK	356072
PAS	PAS_BRD	LT	EE	89633
PAS	PAS_BRD	LT	GR	152553
PAS	PAS_BRD	LT	ES	268938
PAS	PAS_BRD	LT	EU27_2007	4711072
PAS	PAS_BRD	LT	EU27_2020	3547550
PAS	PAS_BRD	LT	EU28	4712139
PAS	PAS_BRD	LT	FI	150736
PAS	PAS_BRD	LT	FR	166577
PAS	PAS_BRD	LT	HR	1067
PAS	PAS_BRD	LT	HU	426
PAS	PAS_BRD	LT	IE	174645
PAS	PAS_BRD	LT	IT	394522
PAS	PAS_BRD	LT	LU	: 
PAS	PAS_BRD	LT	LV	306665
PAS	PAS_BRD	LT	MT	36444
PAS	PAS_BRD	LT	NL	162841
PAS	PAS_BRD	LT	PL	275469
PAS	PAS_BRD	LT	PT	15844
PAS	PAS_BRD	LT	RO	192
PAS	PAS_BRD	LT	SE	168371
PAS	PAS_BRD	LT	SI	22
PAS	PAS_BRD	LT	SK	: 
PAS	PAS_BRD	LT	UK	1164589
PAS	PAS_BRD	LU	AT	124825
PAS	PAS_BRD	LU	BE	935
PAS	PAS_BRD	LU	BG	25059
PAS	PAS_BRD	LU	CY	587
PAS	PAS_BRD	LU	CZ	13729
PAS	PAS_BRD	LU	DE	596723
PAS	PAS_BRD	LU	DK	80650
PAS	PAS_BRD	LU	EE	82
PAS	PAS_BRD	LU	GR	83915
PAS	PAS_BRD	LU	ES	589242
PAS	PAS_BRD	LU	EU27_2007	3975750
PAS	PAS_BRD	LU	EU27_2020	3393935
PAS	PAS_BRD	LU	EU28	3985434
PAS	PAS_BRD	LU	FI	1219
PAS	PAS_BRD	LU	FR	351543
PAS	PAS_BRD	LU	HR	9684
PAS	PAS_BRD	LU	HU	9017
PAS	PAS_BRD	LU	IE	91540
PAS	PAS_BRD	LU	IT	413263
PAS	PAS_BRD	LU	LT	60
PAS	PAS_BRD	LU	LV	: 
PAS	PAS_BRD	LU	MT	32802
PAS	PAS_BRD	LU	NL	185840
PAS	PAS_BRD	LU	PL	58723
PAS	PAS_BRD	LU	PT	721769
PAS	PAS_BRD	LU	RO	2
PAS	PAS_BRD	LU	SE	2595
PAS	PAS_BRD	LU	SI	: 
PAS	PAS_BRD	LU	SK	131
